scholarshipID,scholarshipDetailURL,Award Name,Organization,Purposes,Level Of Study,Award Type,Award Amount,Deadline
9998382,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9998382,Virginia Tech Student Travel Award,Association of Environmental Engineering and Science Professors,To support the recipients' travel to attend the biennial AEESP Education and Research Conference.,Bachelor's Degree  Graduate Degree,Prize,$750,
9999316,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9999316,AISES Summer Internships,American Indian Science and Engineering Society,To provide Native American students with applied work experience and an opportunity to explore career options.,Bachelor's Degree  Graduate Degree,N/A,N/A,February
9999317,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9999317,AISES Intel Growing The Legacy Scholarship Program,American Indian Science and Engineering Society,To support students pursuing an undergraduate or graduate STEM degree.,Bachelor's Degree  Graduate Degree,Scholarship,"$5,000  $10,000",May
9994559,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9994559,MAES Padrino/Madrina Scholarships,MAES,To increase the number of Hispanic students completing their higher education goals.,Bachelor's Degree,Scholarship,N/A,
9994561,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9994561,MAES Founders Scholarship,MAES,"To increase the number of Latino students completing their higher education goals and are awarded to student members in the fields of Science, Technology, Engineering, and Mathematics.",Bachelor's Degree  Graduate Degree,Scholarship,N/A,March
9995319,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9995319,John L. Imhoff Scholarship,Institute of Industrial and Systems Engineers,"To support a student pursuing an industrial engineering degree who, by academic, employment and/or professional achievements, has made noteworthy contributions to the development of the industrial engineering profession through international understanding.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,000",November
9995318,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9995318,Harold and Inge Marcus Scholarship,Institute of Industrial and Systems Engineers,To support undergraduate industrial engineering students for academic excellence and noteworthy contribution to the development of the industrial engineering profession.,Bachelor's Degree,Scholarship,"$1,000",November
9991641,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991641,Children of SPE Evangeline Section Membership Scholarship,Society of Petroleum Engineers - Evangeline Section,To provide support to eligible children of SPS Evangeline Section members pursuing Bachelor's or Master's degrees.,Bachelor's Degree  Graduate Degree,Scholarship,"$500  $1,000",July
9991699,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991699,Connie and Robert T. Gunter Scholarship,Society of Manufacturing Engineers Education Foundation,To support students seeking degrees in manufacturing engineering or technology in Georgia.,Bachelor's Degree,Scholarship,N/A,February
9991709,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991709,Chapter 31 - Peoria Scholarship,Society of Manufacturing Engineers Education Foundation,"To provide assistance to students who are pursuing manufacturing engineering, industrial engineering, manufacturing technology, or a manufacturing related degree program.",Bachelor's Degree,Scholarship,N/A,February
9991712,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991712,Chapter 116 - Roscoe Douglas Scholarship,Society of Manufacturing Engineers Education Foundation,To provide assistance to students who are pursuing manufacturing engineering or manufacturing engineering technology degrees.,Bachelor's Degree,Scholarship,N/A,February
9991713,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991713,Chapter 1 – Detroit Undergraduate Scholarship,Society of Manufacturing Engineers Education Foundation,To provide assistance to students who are pursuing manufacturing engineering.,Associate Degree  Bachelor's Degree  Vocational,Scholarship,N/A,February
9991711,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991711,Chapter 17 - St. Louis Scholarship,Society of Manufacturing Engineers Education Foundation,"To provide assistance to students who are pursuing manufacturing engineering, industrial technology, or other manufacturing related programs.",Bachelor's Degree,Scholarship,N/A,February
9991715,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991715,Arthur and Gladys Cervenka Scholarship,Society of Manufacturing Engineers Education Foundation,To provide assistance to students who are pursuing manufacturing engineering.,Bachelor's Degree,Scholarship,N/A,February
9991692,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991692,Giuliano Mazzetti Scholarship,Society of Manufacturing Engineers Education Foundation,To provide students the assistance they need in studying manufacturing engineering or technology in the United States or Canada.,Bachelor's Degree,Prize  Scholarship,N/A,February
